title,description,source,published_at,url,content
CBSE to introduce on-screen marking for Class 12 from 2026: What it means for students,"CBSE will introduce On-Screen Marking for Class 12 board exams from 2026, replacing manual evaluation with digital assessment of scanned answer sheets. The move aims to reduce totalling errors, speed up checking and improve transparency. While students will c…",The Times of India,2026-02-12T05:38:54Z,https://timesofindia.indiatimes.com/education/news/cbse-to-introduce-on-screen-marking-for-class-12-from-2026-what-it-means-for-students/articleshow/128239490.cms,"Follow Us On Social Media
Lucknow: Rs 2,180 Crore Projects, Welfare Budget Hike, Viksit Bharat Milestone Push And MoreNetanyahus Iran Push Crashes as Trump Says No After 3-Hour Meeting, Prioritises … [+3103 chars]"
Polls open for Bangladesh’s first election since the 2024 uprising that ousted Hasina,Polls have opened across Bangladesh for voters to cast ballots in a parliamentary election seen as a critical test of the country’s democracy after years of political turmoil,Abcnews.com,2026-02-12T05:33:31Z,https://abcnews.com/International/wireStory/polls-open-bangladeshs-election-2024-uprising-ousted-hasina-130084536,"DHAKA, Bangladesh -- Polls opened across Bangladesh on Thursday for voters to cast ballots in a parliamentary election seen as a critical test of the countrys democracy after years of political turmo… [+3839 chars]"
Ormax Chief On Revival Of Hindi & Hollywood Films At India Box Office; Upcoming ‘Toxic’ & ‘Dhurandhar 2’ Clash,"After a few years in which South Indian films have been taking most of the headlines at the Indian box office, Hindi cinema had a reprieve in 2025, clocking up its biggest year ever, with an 18% increase in total box office to $609.78M (Rs55BN), according to …",Deadline,2026-02-12T05:18:58Z,http://deadline.com/2026/02/dhurandhar-2-toxic-india-box-office-ormax-media-1236715496/,"After a few years in which South Indian films have been taking most of the headlines at the Indian box office, Hindi cinema had a reprieve in 2025, clocking up its biggest year ever, with an 18% incr… [+7882 chars]"
Why should you avoid bringing shoes inside your house as per Vastu?,"Vastu Shastra advises keeping shoes outside the house to prevent the entry of negative energies, dirt, and impurities. Bringing shoes indoors can block positive energy flow, pollute sacred zones like the kitchen, fuel conflicts, and invite poverty and illness…",The Times of India,2026-02-12T04:51:11Z,https://timesofindia.indiatimes.com/astrology/vastu-feng-shui/why-should-you-avoid-bringing-shoes-inside-your-house-as-per-vastu/articleshow/128213990.cms,"Follow Us On Social Media
Russia Hits Ukraine Capital With Ballistic Missiles, Drones Follow As Kyiv Freezes In DarknessDid India Attack Kirana Hills In Pakistan? IAF Vice Chief Clarifies Op Sindoor… [+3192 chars]"
Daily Briefing: Bangladesh goes to first parliamentary polls after Sheikh Hasina’s ouster,In today's edition: Chargesheet in contaminated cough syrup deaths in MP; Sanjaya Baru opinion; what and why India needs to learn from Australia's batsmen; and more,The Indian Express,2026-02-12T04:14:04Z,https://indianexpress.com/article/live-news/daily-briefing-bangladesh-elections-top-news-today-10527837/,"Birthday of a new Bangladesh: In one of its most consequential elections in Bangladeshs history, voters are hopeful for a free and fair poll this time, given that the last two elections in 2018 and 2… [+7712 chars]"
"Not just HCs, CJI nudges Supreme Court judges on delayed verdicts","India News: NEW DELHI: Amid mounting unease of SC over the practice of judges inordinately delaying pronouncing verdicts reserved by them, a two-judge bench of ap.",The Times of India,2026-02-12T03:04:30Z,https://timesofindia.indiatimes.com/india/not-just-hcs-cji-nudges-supreme-court-judges-on-delayed-verdicts/articleshow/128235297.cms,"<ul><li>News</li>
<li>India News</li>
<li>Not just HCs, CJI nudges Supreme Court judges on delayed verdicts</li></ul>
Follow Us On Social Media
Trump All Over Epstein Files: Pam Bondi Shows No Me… [+3046 chars]"
"UP woman constable ditches cop fiance hours before wedding, elopes with history-sheeter","A constable's wedding plans were disrupted when she vanished the night before her marriage. Her father alleged abduction by a history-sheeter. However, the bride was found and stated she left on her own. The groom has called off the wedding. The bride remains…",The Times of India,2026-02-12T02:01:18Z,https://timesofindia.indiatimes.com/city/meerut/woman-constable-ditches-cop-fiance-hours-before-wedding-elopes-with-history-sheeter/articleshow/128219423.cms,"Follow Us On Social Media
Sydney Streets Erupt As Pro-Palestinian Protesters Confront Police Over Israeli Presidents TripSydney Streets Erupt As Pro-Palestinian Protesters Confront Police Over Israe… [+3247 chars]"
Bangladesh set for historic polls,Hopes for a free and fair voting — especially since the last elections in 2018 and 2024 faced allegations of widespread rigging by the Awami League — is driving the mood on the streets of Dhaka.,The Indian Express,2026-02-12T02:00:08Z,https://indianexpress.com/article/world/bangladesh-set-for-historic-polls-10527596/,"Amid a heavy security blanket, Bangladesh goes to polls in one of the most consequential elections in the countrys history on Thursday, a year-and-half after massive student and political protests le… [+2480 chars]"
"FM Nirmala Sitharaman cites data centre sops, rejects Opposition claims on India data flow and trade deal in Lok Sabha","Nirmala Sitharaman said the Budget incentivises local data centres, rejecting Rahul Gandhi’s charge that India’s data was being opened to the US. She accused Congress of compromising farmers, the poor and national interests.",The Times of India,2026-02-12T00:30:00Z,https://economictimes.indiatimes.com/news/india/fm-nirmala-sitharaman-cites-data-centre-sops-rejects-opposition-claims-on-india-data-flow-and-trade-deal-in-lok-sabha/articleshow/128221954.cms,"New Delhi: The budget proposes to incentivise local data centres, finance minister Nirmala Sitharaman said on Wednesday. She rejected Congress leader Rahul Gandhi's allegations that Prime Minister Na… [+4182 chars]"
"Sitharaman counters LoP on farmers, food security & data","“If Congress had its way, Indian farmers would have been on the streets. They are the ones selling Indian farmers,” she said.",The Indian Express,2026-02-12T00:00:49Z,https://indianexpress.com/article/india/sitharaman-counters-lop-rahul-gandhi-on-farmers-food-security-data-10527492/,"Hours after Leader of Opposition Rahul Gandhi targeted the government over the India-US trade deal, Union Finance Minister Nirmala Sitharaman, while defending provisions of the Union Budget, hit back… [+4587 chars]"
Plea in SC for FIR against Assam CM Himanta for hate speech,"India News: NEW DELHI: Bringing to SC’s notice various instances of Assam CM Himanta Biswa Sarma’s alleged hate speeches, including a recent controversial video f.",The Times of India,2026-02-12T00:00:07Z,https://timesofindia.indiatimes.com/india/plea-in-sc-for-fir-against-assam-cm-himanta-for-hate-speech/articleshow/128230524.cms,"<ul><li>News</li>
<li>India News</li>
<li>Plea in SC for FIR against Assam CM Himanta for hate speech</li></ul>
Follow Us On Social Media
Sydney Streets Erupt As Pro-Palestinian Protesters Confro… [+3376 chars]"
Did a 19th-century freemason really predict World War 3 between Islam and Zionism?,"The “Pike letter,” allegedly written in 1871, is said to predict three world wars: the first to topple empires and establish communism, the second to defeat fascism and pave the way for Israel, and a third future conflict between Western and Islamic powers, l…",The Times of India,2026-02-12T00:00:00Z,https://timesofindia.indiatimes.com/etimes/trending/the-myth-of-albert-pike-did-a-19th-century-freemason-really-predict-world-war-3-between-islam-and-zionism/articleshow/128155954.cms,"<ul><li>News</li>
<li>lifestyle</li>
<li>trending</li>
<li>The myth of Albert Pike: Did a 19th-century freemason really predict World War 3 between Islam and Zionism?</li></ul>
Follow Us On Socia… [+2066 chars]"
Kalyan-Dombivli Municipal Corporation seals offices of Titawala school over non-payment of Rs 1.3 crore property tax arrears,Kalyan: The tax department of Kalyan-Dombivli Municipal Corporation (KDMC) on Tuesday sealed the offices of G R Patil School and Junior College in Tit.,The Times of India,2026-02-11T23:57:00Z,https://timesofindia.indiatimes.com/city/mumbai/kalyan-dombivli-municipal-corporation-seals-offices-of-titawala-school-over-non-payment-of-rs-1-3-crore-property-tax-arrears/articleshow/128222149.cms,"<ul><li>News</li>
<li>City News</li>
<li>mumbai News</li>
<li>Kalyan-Dombivli Municipal Corporation seals offices of Titawala school over non-payment of Rs 1.3 crore property tax arrears</li></ul>… [+3462 chars]"
"Ahead of polls, Stalin rules out coalition govt with Congress","India News: CHENNAI: Tamil Nadu CM M K Stalin Wednesday ruled out the possibility of a coalition govt in the state, a suggestion being voiced by Congress netas ah.",The Times of India,2026-02-11T23:54:05Z,https://timesofindia.indiatimes.com/india/ahead-of-polls-stalin-rules-out-coalition-govt-with-congress/articleshow/128230540.cms,"<ul><li>News</li>
<li>India News</li>
<li>Ahead of polls, Stalin rules out coalition govt with Congress</li></ul>
Follow Us On Social Media
Sydney Streets Erupt As Pro-Palestinian Protesters Conf… [+3378 chars]"
Olympic medals today: What's the 2026 medal count after Feb. 11 events?,Catch up with all the 2026 Winter Olympics medals handed after the conclusion of events on Feb. 11.,USA Today,2026-02-11T22:51:47Z,https://www.usatoday.com/story/sports/olympics/2026/02/11/winter-olympics-medal-count-after-feb-11/88632729007/,"Another day of competition is in the books at the 2026 Milano Cortina Winter Olympics.Athletes from more than 90 countries are battling in 116 events over 16 days, and USA TODAY is keeping a tally of… [+10098 chars]"
Bangladesh Holds Most Consequential Election in Years,The first vote since Prime Minister Sheikh Hasina’s ouster favors a dynastic party but could see the Islamists rise.,Foreign Policy,2026-02-11T22:31:43Z,http://foreignpolicy.com/2026/02/11/bangladesh-election-consequential-hasina-jamaat-islamist/,"Welcome to Foreign Policys South Asia Brief.
The highlights this week: Bangladesh holds its first election since the ouster of longtime Prime Minister Sheikh Hasina, Islamabad grapples with the afte… [+8833 chars]"
The 50: Khanzaadi gets voted out from the show; leaves the house after an ugly clash with Chahat Pandey,"In the gripping latest episode of 'The 50', tensions soared as Khanzaadi's journey came to an unexpected end, following a nail-biting bottom two showdown against Aarya. The drama escalated during a fiercely contested task that ultimately led to shocking team …",The Times of India,2026-02-11T22:19:11Z,https://timesofindia.indiatimes.com/tv/news/hindi/the-50-khanzaadi-gets-voted-out-from-the-show-leaves-the-house-after-an-ugly-clash-with-chahat-pandey/articleshow/128227189.cms,"<ul><li>News</li>
<li>tv</li>
<li>hindi</li>
<li>The 50: Khanzaadi gets voted out from the show; leaves the house after an ugly clash with Chahat Pandey</li></ul>
Follow Us On Social Media
'Bord… [+2067 chars]"
Bangladesh's political crossroads: an election guide,"The Muslim-majority nation of 170 million people, with 127 million voters, goes to the polls Thursday for the firest time since the uprising, electing 350 lawmakers to parliament.

There are more than 51 parties, and more than 2,000 candidates.

Here are the …",FRANCE 24 English,2026-02-11T21:37:15Z,https://www.france24.com/en/live-news/20260211-bangladesh-s-political-crossroads-an-election-guide,"The Muslim-majority nation of 170 million people, with 127 million voters, goes to the polls Thursday for the firest time since the uprising, electing 350 lawmakers to parliament.
There are more tha… [+3077 chars]"
Two Foreign Nationals Indicted in Chicago as Part of $10M Health Care Fraud Scheme,"Two foreign nationals participated in a $10 million scheme to fraudulently bill Medicare and private insurers for nonexistent health care services, according to an indictment returned in federal court in Chicago.",Justice.gov,2026-02-11T21:01:48Z,https://www.justice.gov/opa/pr/two-foreign-nationals-indicted-chicago-part-10m-health-care-fraud-scheme,"Two foreign nationals participated in a $10 million scheme to fraudulently bill Medicare and private insurers for nonexistent health care services, according to an indictment returned in federal cour… [+4458 chars]"
"As Bangladesh Votes, Few Women Are on the Ballot","Parties failed to meet a modest commitment to field more female candidates, despite the leading role of women in the 2024 protest movement.",Foreign Policy,2026-02-11T20:33:14Z,http://foreignpolicy.com/2026/02/11/bangladesh-election-few-women-ballot-bnp-jamaat-islami/,"Last month, as I walked from the stately offices of the International Crimes Tribunal at Dhakas Old High Court building to the Shilpakala Academy, I passed a raucous procession cheering a candidate f… [+11104 chars]"
"Sortable table: Religious diversity by country, 2010-2020","This sortable table shows religious diversity scores for countries and territories in 2010 and 2020.
The post Sortable table: Religious diversity by country, 2010-2020 appeared first on Pew Research Center.",Pew Research Center,2026-02-11T19:13:57Z,http://www.pewresearch.org/religion/2026/02/11/sortable-table-religious-diversity-by-country-2010-2020/,"The sortable table below shows the Religious Diversity Index (RDI) score for each country and territory included in our study, along with its corresponding diversity level in 2010 and 2020. It also d… [+37163 chars]"
T20 World Cup illness and injury worries for India as they hope for a smoother ride with bat,"Ahead of India’s second T20 World Cup match against Namibia, team concerns center more on player fitness than the opposition. Abhishek Sharma has rejoined after a stomach bug, Washington Sundar is back from a side strain, and Jasprit Bumrah has recovered from…",The Times of India,2026-02-11T19:07:22Z,https://economictimes.indiatimes.com/news/sports/t20-world-cup-illness-and-injury-worries-for-india-as-they-hope-for-a-smoother-ride-with-bat/articleshow/128222345.cms,"In the lead-up to Indias second match of the T20 World Cup against Namibia, illness and injuries have occupied more mind space than oppositions batters or bowlers. Thats not to suggest that Indian te… [+3962 chars]"
Armed forces likely to see big-ticket approvals at DAC meet on Thursday,"DAC may consider ₹2.7 trillion Rafale deal, Scalp missiles and other key Army, Navy and Air Force acquisitions at upcoming meet",Business Standard,2026-02-11T18:45:26Z,https://www.business-standard.com/external-affairs-defence-security/news/armed-forces-likely-to-see-big-ticket-approvals-at-dac-meet-on-thursday-126021101606_1.html,"(File photo: PTI)
Satarupa Bhattacharjya
The armed forces seem to be looking to receive clearance for a number of purchases, large and small, by the Defence Acquisition Council (DAC), chaired by De… [+1689 chars]"
"Indo-US trade deal handed over India’s data, hurt farmers: Rahul Gandhi",Rahul Gandhi criticised the Indo-US trade deal in Lok Sabha. He called it a 'wholesale surrender' and a 'tragedy'. Gandhi stated the Prime Minister failed to use India's key assets like data and human resources. He claimed the government buckled under US pres…,The Times of India,2026-02-11T18:34:06Z,https://economictimes.indiatimes.com/news/politics-and-nation/indo-us-trade-deal-handed-over-indias-data-hurt-farmers-rahul-gandhi/articleshow/128220686.cms,"New Delhi: Leader of the Opposition Rahul Gandhi on Wednesday alleged in the Lok Sabha that the Indo-US trade deal was a ""wholesale surrender"" and a ""tragedy"" and claimed that the PM has failed to le… [+2681 chars]"
"Jharkhand Expands Micro-Lift Irrigation, Boosts Women-Led Livelihoods","Jharkhand is expanding micro-lift irrigation projects to 50 blocks, boosting women-led livelihoods and horticulture output. The state government will also directly link self-help groups to supply chains for products like sanitary napkins and milk, creating st…",The Times of India,2026-02-11T18:32:38Z,https://timesofindia.indiatimes.com/city/ranchi/jharkhand-expands-micro-lift-irrigation-boosts-women-led-livelihoods/articleshow/128221203.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
3 TSPC members arrested in Latehar,"Authorities made a significant move by arresting three members of the Tritya Sammelan Prastuti Committee (TSPC) in Latehar district, where they uncovered weapons and other damning evidence. Notably, Adesh Ganjhu, a high-profile fugitive with a Rs 50,000 price…",The Times of India,2026-02-11T18:31:33Z,https://timesofindia.indiatimes.com/city/ranchi/3-tspc-members-arrested-in-latehar/articleshow/128221051.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
Customs returns 35 kirpans and relics to Sikh community,"Mumbai: Airport customs authorities in Marol on Wednesday handed over 35 Sikh religious items, including kirpans, which were confiscated from passenge.",The Times of India,2026-02-11T18:31:00Z,https://timesofindia.indiatimes.com/city/mumbai/customs-returns-35-kirpans-and-relics-to-sikh-community/articleshow/128219409.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
"For first time, ISL clubs show faith in domestic coaches",Panaji: The top-tier Indian Super League (ISL) will have four domestic coaches at the helm for the first time this season. But while that signifies in.,The Times of India,2026-02-11T18:30:47Z,https://timesofindia.indiatimes.com/city/goa/for-first-time-isl-clubs-show-faith-in-domestic-coaches/articleshow/128221133.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
"Ranchi Transport Overhaul: Metro, Flyovers & Road Upgrades Proposed to Centre","Ranchi is poised for a major transport overhaul with a comprehensive mobility plan submitted to the Centre. The proposal includes 160 km of road upgrades, nine flyovers, and the ambitious development of three metro corridors spanning 51 km. Enhancements to pe…",The Times of India,2026-02-11T18:29:38Z,https://timesofindia.indiatimes.com/city/ranchi/ranchi-transport-overhaul-metro-flyovers-road-upgrades-proposed-to-centre/articleshow/128221099.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
"Ranchi Youth Drug Abuse Crisis: Wards 22, 23, 24 Grapple with Open Narcotic Trade","Drug abuse is a serious issue affecting youths and minors in Ranchi's wards 22, 23, and 24. Residents report open sales of narcotics, with many families impacted. The problem fuels fears of rising petty crime. Police conduct raids, but the menace persists. Lo…",The Times of India,2026-02-11T18:27:56Z,https://timesofindia.indiatimes.com/city/ranchi/ranchi-youth-drug-abuse-crisis-wards-22-23-24-grapple-with-open-narcotic-trade/articleshow/128221029.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
Pahari Temple Ranchi Hosts Grand Haldi-Mehendi & Sangeet Ahead of Mahashivratri,"Ranchi's Pahari Temple buzzed with devotion for Lord Shiva's wedding celebrations ahead of Mahashivratri. A grand haldi-mehendi and sangeet ceremony, conducted with Vedic rituals, marked a spiritual prelude to the annual Shiv Barat. The event aimed to foster …",The Times of India,2026-02-11T18:27:34Z,https://timesofindia.indiatimes.com/city/ranchi/pahari-temple-ranchi-hosts-grand-haldi-mehendi-sangeet-ahead-of-mahashivratri/articleshow/128221015.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
Ranchi Tribal Land Demolition: 11 Houses Razed After High Court Order,"Ranchi witnessed protests as residents demonstrated against the demolition of 11 houses on tribal land. Locals claim they resided there for decades, having paid for the plots, but the district administration, acting on a Jharkhand High Court order, evicted th…",The Times of India,2026-02-11T18:26:42Z,https://timesofindia.indiatimes.com/city/ranchi/ranchi-tribal-land-demolition-11-houses-razed-after-high-court-order/articleshow/128220979.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
ECI team to visit Assam on Feb 17 & 18,"In an important step for the state's electoral process, the Election Commission of India is set to convene in Assam on February 17-18. This visit aims to evaluate the readiness for the upcoming polls, paving the way for the announcement of election dates.",The Times of India,2026-02-11T18:26:35Z,https://timesofindia.indiatimes.com/city/guwahati/eci-team-to-visit-assam-on-feb-17-18/articleshow/128220931.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
"Mirabag villagers demand public consultation, protest continues","Mirabag residents continue their protest against the proposed 50 MLD bandhara project, demanding public consultation and voicing concerns over environmental impact.",The Times of India,2026-02-11T18:26:22Z,https://timesofindia.indiatimes.com/city/goa/mirabag-villagers-demand-public-consultation-protest-continues/articleshow/128220926.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
Ranchi Vendors Protest RMC Shop Reshuffling Order at Atal Smriti Market,"Shopkeepers at Ranchi's Atal Smriti Vendor Market protested against the Municipal Corporation's reshuffling order, fearing disruption to their businesses. Vendors claim the reallocation of vacant shops lacked transparency, impacting their established customer…",The Times of India,2026-02-11T18:26:04Z,https://timesofindia.indiatimes.com/city/ranchi/ranchi-vendors-protest-rmc-shop-reshuffling-order-at-atal-smriti-market/articleshow/128220840.cms,"Follow Us On Social Media
The Mole On Your Palm Holds A Fortune Clue? Pawan Sinha Reveals The Luck ConnectionThey Broke My Door Down: Detained Man Speaks Out After Release in Nancy Guthrie CaseAkhil… [+1384 chars]"
